Country,Crop,Soil Type,Temperature,Season,Category
Mexico,Sorghum,Sandy Soil,23 to 37,Rabi,Cereal
Mexico,Cocoa,Clayey Soil,23 to 31,Summer,Beverage
Mexico,Mango,Laterite Soil,23 to 38,Autumn,Fruit
Mexico,Carrot,Silty Soil,26 to 35,Winter,Vegetable
Mexico,Sugarcane,Loamy Soil,23 to 37,Kharif,Cash Crop
Mexico,Grapes,Loamy Soil,25 to 33,Year-round,Fruit
Mexico,Jute,Loamy Soil,26 to 29,Year-round,Cash Crop
Mexico,Carrot,Volcanic Soil,23 to 37,Autumn,Vegetable
Mexico,Millet,Red Soil,24 to 34,Summer,Cereal
Mexico,Lettuce,Red Soil,21 to 34,Year-round,Leafy Green
Mexico,Walnut,Loamy Soil,28 to 31,Rabi,Nut
Mexico,Cashew,Sandy Soil,26 to 33,Zaid,Nut
Mexico,Rice,Silty Soil,20 to 29,Rabi,Cereal
Mexico,Jute,Sandy Soil,27 to 32,Year-round,Cash Crop
Mexico,Pistachio,Clayey Soil,26 to 30,Summer,Nut
Mexico,Banana,Clayey Soil,25 to 29,Year-round,Fruit
Mexico,Millet,Loamy Soil,20 to 33,Autumn,Cereal
Mexico,Millet,Alluvial Soil,22 to 33,Rabi,Cereal
Mexico,Cotton,Laterite Soil,21 to 38,Summer,Cash Crop
Mexico,Mango,Loamy Soil,28 to 36,Autumn,Fruit
Mexico,Potato,Volcanic Soil,23 to 30,Zaid,Vegetable
Mexico,Mango,Red Soil,20 to 33,Zaid,Fruit
Mexico,Coffee,Silty Soil,27 to 33,Winter,Beverage
Mexico,Grapes,Red Soil,26 to 30,Autumn,Fruit
Mexico,Grapes,Loamy Soil,26 to 36,Spring,Fruit
Mexico,Mustard Greens,Loamy Soil,28 to 31,Wet Season,Leafy Green
Mexico,Almond,Volcanic Soil,27 to 35,Rabi,Nut
Mexico,Hazelnut,Silty Soil,21 to 35,Kharif,Nut
Mexico,Walnut,Volcanic Soil,23 to 34,Spring,Nut
Mexico,Jute,Sandy Soil,25 to 36,Kharif,Cash Crop
Mexico,Potato,Volcanic Soil,26 to 29,Wet Season,Vegetable
Mexico,Cocoa,Volcanic Soil,20 to 32,Rabi,Beverage
Mexico,Barley,Alluvial Soil,20 to 36,Winter,Cereal
Mexico,Kale,Silty Soil,27 to 38,Kharif,Leafy Green
Mexico,Cabbage,Black Soil,25 to 33,Spring,Vegetable
Mexico,Cashew,Laterite Soil,26 to 37,Kharif,Nut
Mexico,Papaya,Alluvial Soil,28 to 32,Kharif,Fruit
Mexico,Sugarcane,Loamy Soil,27 to 38,Wet Season,Cash Crop
Mexico,Mustard Greens,Loamy Soil,24 to 34,Year-round,Leafy Green
Mexico,Coffee,Andosol,26 to 38,Kharif,Beverage
Mexico,Cabbage,Andosol,25 to 38,Dry Season,Vegetable
Mexico,Carrot,Loamy Soil,25 to 34,Winter,Vegetable
Mexico,Maize,Loamy Soil,23 to 36,Summer,Cereal
Mexico,Cocoa,Volcanic Soil,20 to 36,Summer,Beverage
Mexico,Pistachio,Loamy Soil,23 to 36,Zaid,Nut
Mexico,Pistachio,Silty Soil,28 to 29,Winter,Nut
Mexico,Carrot,Volcanic Soil,26 to 32,Winter,Vegetable
Mexico,Hazelnut,Laterite Soil,24 to 35,Rabi,Nut
Mexico,Ginger,Andosol,21 to 32,Kharif,Spice
Mexico,Lettuce,Sandy Soil,28 to 37,Kharif,Leafy Green
Mexico,Almond,Black Soil,25 to 32,Autumn,Nut
Mexico,Cocoa,Laterite Soil,25 to 33,Rabi,Beverage
Mexico,Kale,Alluvial Soil,26 to 35,Kharif,Leafy Green
Mexico,Orange,Andosol,25 to 32,Rabi,Fruit
Mexico,Mustard Greens,Clayey Soil,27 to 37,Year-round,Leafy Green
Mexico,Onion,Silty Soil,23 to 30,Autumn,Vegetable
Mexico,Cotton,Alluvial Soil,22 to 36,Dry Season,Cash Crop
Micronesia,Maize,Red Soil,27 to 32,Autumn,Cereal
Micronesia,Millet,Alluvial Soil,23 to 31,Winter,Cereal
Micronesia,Carrot,Volcanic Soil,25 to 33,Kharif,Vegetable
Micronesia,Coriander,Red Soil,26 to 30,Rabi,Spice
Micronesia,Garlic,Loamy Soil,28 to 33,Dry Season,Spice
Micronesia,Tea,Alluvial Soil,24 to 35,Summer,Beverage
Micronesia,Barley,Loamy Soil,25 to 34,Dry Season,Cereal
Micronesia,Tea,Sandy Soil,23 to 38,Rabi,Beverage
Micronesia,Mustard Greens,Loamy Soil,26 to 30,Winter,Leafy Green
Micronesia,Coffee,Black Soil,26 to 30,Zaid,Beverage
Micronesia,Cotton,Volcanic Soil,22 to 32,Autumn,Cash Crop
Micronesia,Pistachio,Red Soil,28 to 30,Autumn,Nut
Micronesia,Cashew,Andosol,22 to 29,Summer,Nut
Micronesia,Cabbage,Clayey Soil,21 to 33,Winter,Vegetable
Micronesia,Spinach,Alluvial Soil,23 to 33,Zaid,Vegetable
Micronesia,Grapes,Red Soil,24 to 38,Autumn,Fruit
Micronesia,Jute,Clayey Soil,22 to 38,Summer,Cash Crop
Micronesia,Tomato,Silty Soil,26 to 38,Kharif,Vegetable
Micronesia,Ginger,Red Soil,20 to 37,Dry Season,Spice
Micronesia,Garlic,Andosol,22 to 33,Year-round,Spice
Micronesia,Walnut,Black Soil,22 to 36,Rabi,Nut
Micronesia,Potato,Silty Soil,22 to 34,Dry Season,Vegetable
Micronesia,Turmeric,Red Soil,28 to 32,Spring,Spice
Micronesia,Tomato,Laterite Soil,26 to 34,Rabi,Vegetable
Micronesia,Tea,Andosol,22 to 38,Autumn,Beverage
Micronesia,Sugarcane,Red Soil,20 to 36,Autumn,Cash Crop
Micronesia,Onion,Silty Soil,20 to 30,Zaid,Vegetable
Micronesia,Tomato,Alluvial Soil,26 to 32,Autumn,Vegetable
Micronesia,Potato,Sandy Soil,28 to 31,Summer,Vegetable
Micronesia,Cabbage,Andosol,26 to 33,Year-round,Vegetable
Micronesia,Pistachio,Alluvial Soil,23 to 31,Autumn,Nut
Micronesia,Wheat,Sandy Soil,28 to 29,Autumn,Cereal
Micronesia,Potato,Clayey Soil,21 to 30,Autumn,Vegetable
Micronesia,Cotton,Black Soil,25 to 38,Zaid,Cash Crop
Micronesia,Pistachio,Sandy Soil,26 to 32,Rabi,Nut
Micronesia,Tea,Alluvial Soil,27 to 34,Zaid,Beverage
Micronesia,Kale,Volcanic Soil,28 to 29,Kharif,Leafy Green
Micronesia,Coffee,Loamy Soil,25 to 34,Rabi,Beverage
Micronesia,Cocoa,Red Soil,28 to 29,Rabi,Beverage
Micronesia,Mustard Greens,Clayey Soil,21 to 33,Autumn,Leafy Green
Micronesia,Garlic,Sandy Soil,27 to 35,Kharif,Spice
Micronesia,Lettuce,Sandy Soil,26 to 33,Winter,Leafy Green
Micronesia,Sugarcane,Silty Soil,24 to 37,Zaid,Cash Crop
Micronesia,Mango,Red Soil,28 to 34,Kharif,Fruit
Micronesia,Mustard Greens,Black Soil,23 to 32,Dry Season,Leafy Green
Micronesia,Coffee,Black Soil,20 to 35,Winter,Beverage
Micronesia,Tobacco,Alluvial Soil,28 to 37,Dry Season,Cash Crop
Micronesia,Walnut,Red Soil,24 to 34,Summer,Nut
Micronesia,Orange,Volcanic Soil,24 to 32,Winter,Fruit
Micronesia,Coffee,Loamy Soil,26 to 34,Spring,Beverage
Micronesia,Almond,Volcanic Soil,23 to 35,Rabi,Nut
Micronesia,Mango,Andosol,24 to 34,Year-round,Fruit
Micronesia,Orange,Laterite Soil,26 to 38,Winter,Fruit
Micronesia,Tea,Red Soil,26 to 30,Kharif,Beverage
Micronesia,Sugarcane,Loamy Soil,25 to 29,Spring,Cash Crop
Micronesia,Cabbage,Volcanic Soil,26 to 31,Winter,Vegetable
Micronesia,Swiss Chard,Laterite Soil,27 to 32,Autumn,Leafy Green
Micronesia,Millet,Andosol,22 to 32,Autumn,Cereal
Micronesia,Kale,Volcanic Soil,20 to 37,Year-round,Leafy Green
Micronesia,Maize,Alluvial Soil,26 to 30,Kharif,Cereal
Moldova,Cumin,Laterite Soil,7 to 13,Summer,Spice
Moldova,Grapes,Loamy Soil,11 to 18,Summer,Fruit
Moldova,Grapes,Sandy Soil,12 to 18,Kharif,Fruit
Moldova,Saffron,Silty Soil,6 to 17,Dry Season,Spice
Moldova,Grapes,Clayey Soil,11 to 16,Wet Season,Fruit
Moldova,Cumin,Andosol,11 to 16,Zaid,Spice
Moldova,Grapes,Volcanic Soil,10 to 14,Rabi,Fruit
Moldova,Peanut,Red Soil,9 to 17,Spring,Nut
Moldova,Cumin,Silty Soil,10 to 15,Autumn,Spice
Moldova,Swiss Chard,Laterite Soil,11 to 17,Autumn,Leafy Green
Moldova,Jute,Andosol,5 to 15,Year-round,Cash Crop
Moldova,Pistachio,Volcanic Soil,12 to 15,Summer,Nut
Moldova,Kale,Laterite Soil,5 to 18,Autumn,Leafy Green
Moldova,Coffee,Silty Soil,12 to 14,Zaid,Beverage
Moldova,Peanut,Andosol,5 to 15,Wet Season,Nut
Moldova,Pistachio,Loamy Soil,10 to 17,Wet Season,Nut
Moldova,Turmeric,Clayey Soil,10 to 13,Dry Season,Spice
Moldova,Millet,Loamy Soil,9 to 16,Dry Season,Cereal
Moldova,Kale,Alluvial Soil,7 to 15,Summer,Leafy Green
Moldova,Coffee,Clayey Soil,7 to 16,Year-round,Beverage
Moldova,Saffron,Clayey Soil,7 to 18,Kharif,Spice
Moldova,Tea,Sandy Soil,8 to 14,Kharif,Beverage
Moldova,Wheat,Volcanic Soil,8 to 18,Dry Season,Cereal
Moldova,Cashew,Loamy Soil,10 to 17,Dry Season,Nut
Moldova,Banana,Silty Soil,7 to 17,Rabi,Fruit
Moldova,Mustard Greens,Andosol,12 to 15,Rabi,Leafy Green
Moldova,Walnut,Loamy Soil,8 to 16,Spring,Nut
Moldova,Sorghum,Laterite Soil,6 to 15,Wet Season,Cereal
Moldova,Cabbage,Loamy Soil,10 to 13,Kharif,Vegetable
Moldova,Rice,Loamy Soil,6 to 15,Wet Season,Cereal
Moldova,Grapes,Loamy Soil,9 to 18,Wet Season,Fruit
Moldova,Grapes,Clayey Soil,9 to 15,Autumn,Fruit
Moldova,Grapes,Alluvial Soil,7 to 15,Autumn,Fruit
Moldova,Kale,Laterite Soil,9 to 18,Winter,Leafy Green
Moldova,Cotton,Black Soil,6 to 15,Autumn,Cash Crop
Moldova,Tomato,Laterite Soil,8 to 14,Winter,Vegetable
Moldova,Apple,Sandy Soil,8 to 17,Rabi,Fruit
Moldova,Kale,Laterite Soil,6 to 16,Kharif,Leafy Green
Moldova,Cashew,Silty Soil,11 to 14,Summer,Nut
Moldova,Cumin,Loamy Soil,10 to 15,Kharif,Spice
Moldova,Coffee,Loamy Soil,6 to 17,Autumn,Beverage
Moldova,Maize,Loamy Soil,11 to 13,Dry Season,Cereal
Moldova,Garlic,Clayey Soil,10 to 16,Winter,Spice
Moldova,Saffron,Silty Soil,10 to 17,Kharif,Spice
Moldova,Carrot,Black Soil,11 to 17,Winter,Vegetable
Moldova,Tea,Loamy Soil,11 to 15,Year-round,Beverage
Moldova,Cabbage,Black Soil,7 to 15,Winter,Vegetable
Moldova,Papaya,Laterite Soil,8 to 16,Spring,Fruit
Moldova,Tobacco,Red Soil,10 to 17,Rabi,Cash Crop
Moldova,Sugarcane,Clayey Soil,5 to 17,Rabi,Cash Crop
Moldova,Tea,Volcanic Soil,6 to 13,Winter,Beverage
Moldova,Lettuce,Andosol,8 to 14,Kharif,Leafy Green
Moldova,Sorghum,Andosol,7 to 16,Year-round,Cereal
Moldova,Sugarcane,Volcanic Soil,11 to 13,Rabi,Cash Crop
Moldova,Apple,Alluvial Soil,5 to 18,Autumn,Fruit
Moldova,Cumin,Laterite Soil,6 to 18,Autumn,Spice
Moldova,Cocoa,Alluvial Soil,6 to 14,Autumn,Beverage
Moldova,Turmeric,Clayey Soil,12 to 15,Winter,Spice
Moldova,Cumin,Red Soil,10 to 13,Winter,Spice
Moldova,Garlic,Loamy Soil,9 to 14,Autumn,Spice
Monaco,Tea,Black Soil,11 to 18,Zaid,Beverage
Monaco,Grapes,Andosol,12 to 15,Zaid,Fruit
Monaco,Sorghum,Alluvial Soil,6 to 13,Winter,Cereal
Monaco,Spinach,Clayey Soil,9 to 15,Year-round,Vegetable
Monaco,Grapes,Red Soil,7 to 16,Rabi,Fruit
Monaco,Barley,Volcanic Soil,12 to 16,Spring,Cereal
Monaco,Mustard Greens,Volcanic Soil,5 to 13,Kharif,Leafy Green
Monaco,Tobacco,Silty Soil,12 to 17,Winter,Cash Crop
Monaco,Coriander,Laterite Soil,6 to 15,Wet Season,Spice
Monaco,Sorghum,Alluvial Soil,12 to 14,Autumn,Cereal
Monaco,Kale,Laterite Soil,5 to 16,Winter,Leafy Green
Monaco,Peanut,Alluvial Soil,6 to 17,Rabi,Nut
Monaco,Swiss Chard,Clayey Soil,5 to 13,Kharif,Leafy Green
Monaco,Coffee,Loamy Soil,9 to 14,Kharif,Beverage
Monaco,Swiss Chard,Red Soil,12 to 14,Wet Season,Leafy Green
Monaco,Coriander,Silty Soil,8 to 18,Dry Season,Spice
Monaco,Spinach,Volcanic Soil,8 to 15,Kharif,Vegetable
Monaco,Spinach,Loamy Soil,8 to 18,Year-round,Vegetable
Monaco,Cocoa,Laterite Soil,5 to 18,Spring,Beverage
Monaco,Onion,Loamy Soil,8 to 16,Autumn,Vegetable
Monaco,Peanut,Laterite Soil,12 to 14,Dry Season,Nut
Monaco,Cumin,Volcanic Soil,5 to 15,Spring,Spice
Monaco,Almond,Clayey Soil,10 to 18,Rabi,Nut
Monaco,Tea,Clayey Soil,9 to 14,Wet Season,Beverage
Monaco,Pistachio,Red Soil,9 to 13,Year-round,Nut
Monaco,Cotton,Sandy Soil,10 to 15,Spring,Cash Crop
Monaco,Garlic,Andosol,7 to 17,Winter,Spice
Monaco,Kale,Black Soil,12 to 13,Year-round,Leafy Green
Monaco,Maize,Volcanic Soil,6 to 13,Winter,Cereal
Monaco,Pistachio,Black Soil,9 to 18,Wet Season,Nut
Monaco,Potato,Alluvial Soil,12 to 13,Winter,Vegetable
Monaco,Coffee,Sandy Soil,7 to 17,Kharif,Beverage
Monaco,Mustard Greens,Black Soil,5 to 13,Autumn,Leafy Green
Monaco,Apple,Red Soil,9 to 15,Summer,Fruit
Monaco,Apple,Loamy Soil,7 to 17,Kharif,Fruit
Monaco,Sorghum,Laterite Soil,10 to 18,Winter,Cereal
Monaco,Cocoa,Volcanic Soil,9 to 14,Summer,Beverage
Monaco,Tobacco,Loamy Soil,12 to 16,Summer,Cash Crop
Monaco,Carrot,Red Soil,11 to 16,Zaid,Vegetable
Monaco,Barley,Black Soil,9 to 14,Year-round,Cereal
Monaco,Coffee,Silty Soil,12 to 15,Winter,Beverage
Monaco,Coffee,Andosol,6 to 13,Rabi,Beverage
Monaco,Grapes,Volcanic Soil,8 to 17,Zaid,Fruit
Monaco,Pistachio,Laterite Soil,8 to 18,Dry Season,Nut
Monaco,Tomato,Volcanic Soil,11 to 14,Autumn,Vegetable
Monaco,Lettuce,Alluvial Soil,6 to 16,Kharif,Leafy Green
Monaco,Spinach,Red Soil,8 to 14,Dry Season,Vegetable
Monaco,Tea,Red Soil,9 to 15,Wet Season,Beverage
Monaco,Tobacco,Laterite Soil,12 to 17,Spring,Cash Crop
Monaco,Coriander,Volcanic Soil,5 to 17,Dry Season,Spice
Monaco,Grapes,Laterite Soil,5 to 13,Year-round,Fruit
Monaco,Coriander,Clayey Soil,8 to 16,Rabi,Spice
Monaco,Hazelnut,Clayey Soil,10 to 17,Year-round,Nut
Monaco,Garlic,Sandy Soil,6 to 18,Kharif,Spice
Monaco,Spinach,Silty Soil,7 to 17,Wet Season,Vegetable
Monaco,Tobacco,Volcanic Soil,7 to 14,Summer,Cash Crop
Monaco,Millet,Andosol,12 to 14,Summer,Cereal
Monaco,Cabbage,Alluvial Soil,6 to 15,Dry Season,Vegetable
Monaco,Millet,Laterite Soil,8 to 13,Autumn,Cereal
Monaco,Maize,Andosol,6 to 14,Rabi,Cereal
Mongolia,Wheat,Red Soil,8 to 13,Winter,Cereal
Mongolia,Potato,Clayey Soil,9 to 18,Spring,Vegetable
Mongolia,Lettuce,Loamy Soil,6 to 16,Zaid,Leafy Green
Mongolia,Coffee,Sandy Soil,12 to 14,Spring,Beverage
Mongolia,Cocoa,Laterite Soil,5 to 18,Wet Season,Beverage
Mongolia,Barley,Silty Soil,10 to 18,Spring,Cereal
Mongolia,Cocoa,Alluvial Soil,10 to 17,Spring,Beverage
Mongolia,Saffron,Silty Soil,6 to 15,Rabi,Spice
Mongolia,Almond,Black Soil,9 to 16,Zaid,Nut
Mongolia,Sorghum,Volcanic Soil,9 to 18,Kharif,Cereal
Mongolia,Saffron,Loamy Soil,6 to 16,Summer,Spice
Mongolia,Wheat,Laterite Soil,9 to 13,Wet Season,Cereal
Mongolia,Papaya,Andosol,11 to 13,Year-round,Fruit
Mongolia,Turmeric,Sandy Soil,7 to 13,Kharif,Spice
Mongolia,Mustard Greens,Volcanic Soil,10 to 18,Wet Season,Leafy Green
Mongolia,Orange,Silty Soil,6 to 18,Summer,Fruit
Mongolia,Walnut,Silty Soil,11 to 14,Spring,Nut
Mongolia,Mustard Greens,Laterite Soil,11 to 14,Wet Season,Leafy Green
Mongolia,Grapes,Alluvial Soil,8 to 13,Wet Season,Fruit
Mongolia,Almond,Red Soil,12 to 14,Dry Season,Nut
Mongolia,Coffee,Sandy Soil,8 to 15,Summer,Beverage
Mongolia,Carrot,Sandy Soil,10 to 15,Year-round,Vegetable
Mongolia,Cocoa,Sandy Soil,5 to 18,Zaid,Beverage
Mongolia,Potato,Alluvial Soil,11 to 15,Spring,Vegetable
Mongolia,Apple,Red Soil,5 to 18,Dry Season,Fruit
Mongolia,Tobacco,Alluvial Soil,10 to 17,Wet Season,Cash Crop
Mongolia,Tobacco,Sandy Soil,11 to 16,Year-round,Cash Crop
Mongolia,Cotton,Volcanic Soil,11 to 18,Kharif,Cash Crop
Mongolia,Orange,Black Soil,10 to 15,Year-round,Fruit
Mongolia,Tea,Laterite Soil,11 to 15,Winter,Beverage
Mongolia,Lettuce,Silty Soil,8 to 15,Wet Season,Leafy Green
Mongolia,Cocoa,Red Soil,7 to 16,Year-round,Beverage
Mongolia,Rice,Loamy Soil,12 to 18,Zaid,Cereal
Mongolia,Lettuce,Andosol,8 to 18,Autumn,Leafy Green
Mongolia,Tomato,Laterite Soil,9 to 17,Zaid,Vegetable
Mongolia,Carrot,Silty Soil,12 to 13,Dry Season,Vegetable
Mongolia,Jute,Silty Soil,6 to 17,Zaid,Cash Crop
Mongolia,Pistachio,Volcanic Soil,8 to 17,Dry Season,Nut
Mongolia,Turmeric,Loamy Soil,9 to 15,Autumn,Spice
Mongolia,Turmeric,Sandy Soil,6 to 15,Zaid,Spice
Mongolia,Rice,Silty Soil,11 to 16,Dry Season,Cereal
Mongolia,Maize,Clayey Soil,5 to 13,Wet Season,Cereal
Mongolia,Saffron,Alluvial Soil,10 to 13,Zaid,Spice
Mongolia,Peanut,Volcanic Soil,7 to 18,Winter,Nut
Mongolia,Tea,Laterite Soil,6 to 18,Winter,Beverage
Mongolia,Tomato,Clayey Soil,6 to 17,Winter,Vegetable
Mongolia,Jute,Sandy Soil,5 to 13,Spring,Cash Crop
Mongolia,Coriander,Sandy Soil,9 to 14,Autumn,Spice
Mongolia,Barley,Laterite Soil,10 to 17,Summer,Cereal
Mongolia,Cabbage,Red Soil,8 to 18,Year-round,Vegetable
Mongolia,Tea,Volcanic Soil,6 to 14,Winter,Beverage
Mongolia,Lettuce,Alluvial Soil,10 to 18,Autumn,Leafy Green
Mongolia,Maize,Laterite Soil,11 to 16,Spring,Cereal
Mongolia,Swiss Chard,Red Soil,10 to 13,Kharif,Leafy Green
Mongolia,Almond,Clayey Soil,8 to 16,Kharif,Nut
Mongolia,Cabbage,Red Soil,10 to 18,Dry Season,Vegetable
Mongolia,Walnut,Clayey Soil,12 to 16,Rabi,Nut
Mongolia,Grapes,Loamy Soil,9 to 14,Spring,Fruit
Mongolia,Ginger,Alluvial Soil,11 to 14,Rabi,Spice
Mongolia,Wheat,Loamy Soil,5 to 18,Winter,Cereal
Montenegro,Walnut,Laterite Soil,8 to 14,Spring,Nut
Montenegro,Almond,Volcanic Soil,5 to 18,Autumn,Nut
Montenegro,Carrot,Loamy Soil,9 to 16,Winter,Vegetable
Montenegro,Ginger,Andosol,11 to 13,Wet Season,Spice
Montenegro,Cocoa,Volcanic Soil,8 to 18,Year-round,Beverage
Montenegro,Millet,Clayey Soil,12 to 13,Kharif,Cereal
Montenegro,Peanut,Red Soil,12 to 17,Dry Season,Nut
Montenegro,Cumin,Loamy Soil,8 to 14,Winter,Spice
Montenegro,Sugarcane,Loamy Soil,8 to 15,Winter,Cash Crop
Montenegro,Kale,Clayey Soil,8 to 16,Summer,Leafy Green
Montenegro,Banana,Alluvial Soil,10 to 14,Spring,Fruit
Montenegro,Onion,Andosol,8 to 16,Rabi,Vegetable
Montenegro,Hazelnut,Silty Soil,7 to 16,Rabi,Nut
Montenegro,Carrot,Loamy Soil,10 to 13,Zaid,Vegetable
Montenegro,Sugarcane,Red Soil,10 to 16,Rabi,Cash Crop
Montenegro,Cocoa,Clayey Soil,6 to 17,Zaid,Beverage
Montenegro,Orange,Andosol,10 to 18,Kharif,Fruit
Montenegro,Wheat,Clayey Soil,9 to 15,Summer,Cereal
Montenegro,Mustard Greens,Red Soil,6 to 14,Year-round,Leafy Green
Montenegro,Barley,Loamy Soil,6 to 16,Spring,Cereal
Montenegro,Papaya,Silty Soil,7 to 15,Zaid,Fruit
Montenegro,Onion,Alluvial Soil,7 to 16,Year-round,Vegetable
Montenegro,Swiss Chard,Clayey Soil,5 to 14,Zaid,Leafy Green
Montenegro,Papaya,Sandy Soil,7 to 14,Dry Season,Fruit
Montenegro,Saffron,Clayey Soil,7 to 18,Winter,Spice
Montenegro,Cumin,Laterite Soil,8 to 15,Kharif,Spice
Montenegro,Tea,Andosol,7 to 17,Dry Season,Beverage
Montenegro,Peanut,Volcanic Soil,8 to 16,Winter,Nut
Montenegro,Turmeric,Red Soil,8 to 15,Autumn,Spice
Montenegro,Ginger,Laterite Soil,12 to 13,Summer,Spice
Montenegro,Maize,Black Soil,9 to 14,Year-round,Cereal
Montenegro,Carrot,Silty Soil,8 to 16,Summer,Vegetable
Montenegro,Tomato,Black Soil,6 to 13,Rabi,Vegetable
Montenegro,Jute,Sandy Soil,12 to 18,Wet Season,Cash Crop
Montenegro,Turmeric,Red Soil,5 to 14,Autumn,Spice
Montenegro,Sugarcane,Black Soil,10 to 16,Summer,Cash Crop
Montenegro,Papaya,Red Soil,12 to 17,Winter,Fruit
Montenegro,Apple,Alluvial Soil,8 to 16,Summer,Fruit
Montenegro,Coriander,Red Soil,9 to 16,Autumn,Spice
Montenegro,Kale,Clayey Soil,11 to 14,Dry Season,Leafy Green
Montenegro,Cotton,Loamy Soil,11 to 16,Rabi,Cash Crop
Montenegro,Cocoa,Andosol,9 to 15,Kharif,Beverage
Montenegro,Spinach,Black Soil,9 to 14,Spring,Vegetable
Montenegro,Maize,Red Soil,12 to 13,Winter,Cereal
Montenegro,Coffee,Red Soil,10 to 14,Dry Season,Beverage
Montenegro,Swiss Chard,Alluvial Soil,11 to 17,Rabi,Leafy Green
Montenegro,Onion,Black Soil,10 to 17,Wet Season,Vegetable
Montenegro,Apple,Loamy Soil,6 to 15,Dry Season,Fruit
Montenegro,Cotton,Clayey Soil,12 to 16,Summer,Cash Crop
Montenegro,Mustard Greens,Andosol,10 to 16,Kharif,Leafy Green
Montenegro,Barley,Sandy Soil,11 to 16,Kharif,Cereal
Montenegro,Hazelnut,Clayey Soil,11 to 15,Dry Season,Nut
Montenegro,Coffee,Silty Soil,5 to 18,Summer,Beverage
Montenegro,Grapes,Andosol,5 to 16,Wet Season,Fruit
Montenegro,Potato,Loamy Soil,7 to 14,Spring,Vegetable
Montenegro,Coffee,Black Soil,11 to 17,Year-round,Beverage
Montenegro,Potato,Red Soil,12 to 16,Kharif,Vegetable
Montenegro,Pistachio,Laterite Soil,6 to 14,Rabi,Nut
Montenegro,Pistachio,Volcanic Soil,8 to 13,Wet Season,Nut
Montenegro,Potato,Loamy Soil,7 to 13,Spring,Vegetable
Morocco,Apple,Andosol,22 to 30,Winter,Fruit
Morocco,Carrot,Andosol,26 to 31,Spring,Vegetable
Morocco,Sugarcane,Sandy Soil,23 to 36,Spring,Cash Crop
Morocco,Cashew,Black Soil,24 to 32,Kharif,Nut
Morocco,Turmeric,Alluvial Soil,28 to 29,Year-round,Spice
Morocco,Almond,Volcanic Soil,27 to 37,Autumn,Nut
Morocco,Millet,Volcanic Soil,26 to 31,Dry Season,Cereal
Morocco,Hazelnut,Alluvial Soil,21 to 34,Spring,Nut
Morocco,Almond,Silty Soil,26 to 36,Summer,Nut
Morocco,Peanut,Volcanic Soil,26 to 35,Winter,Nut
Morocco,Wheat,Silty Soil,22 to 29,Year-round,Cereal
Morocco,Swiss Chard,Alluvial Soil,22 to 30,Wet Season,Leafy Green
Morocco,Cotton,Volcanic Soil,28 to 30,Zaid,Cash Crop
Morocco,Mango,Andosol,20 to 33,Kharif,Fruit
Morocco,Mango,Alluvial Soil,21 to 32,Year-round,Fruit
Morocco,Maize,Andosol,21 to 31,Wet Season,Cereal
Morocco,Mango,Laterite Soil,22 to 38,Dry Season,Fruit
Morocco,Banana,Red Soil,20 to 35,Winter,Fruit
Morocco,Grapes,Andosol,23 to 32,Wet Season,Fruit
Morocco,Cumin,Laterite Soil,28 to 38,Spring,Spice
Morocco,Lettuce,Black Soil,26 to 36,Year-round,Leafy Green
Morocco,Papaya,Clayey Soil,28 to 31,Dry Season,Fruit
Morocco,Millet,Alluvial Soil,26 to 30,Dry Season,Cereal
Morocco,Grapes,Silty Soil,23 to 32,Zaid,Fruit
Morocco,Potato,Silty Soil,22 to 30,Spring,Vegetable
Morocco,Rice,Black Soil,26 to 32,Rabi,Cereal
Morocco,Coriander,Silty Soil,28 to 30,Kharif,Spice
Morocco,Tea,Loamy Soil,22 to 30,Zaid,Beverage
Morocco,Tobacco,Silty Soil,28 to 35,Rabi,Cash Crop
Morocco,Walnut,Silty Soil,22 to 30,Wet Season,Nut
Morocco,Potato,Red Soil,22 to 35,Year-round,Vegetable
Morocco,Cabbage,Red Soil,21 to 31,Spring,Vegetable
Morocco,Tobacco,Volcanic Soil,25 to 34,Wet Season,Cash Crop
Morocco,Jute,Alluvial Soil,20 to 36,Winter,Cash Crop
Morocco,Tea,Sandy Soil,22 to 31,Autumn,Beverage
Morocco,Mustard Greens,Black Soil,25 to 35,Autumn,Leafy Green
Morocco,Millet,Loamy Soil,21 to 32,Autumn,Cereal
Morocco,Mango,Clayey Soil,25 to 29,Rabi,Fruit
Morocco,Tomato,Loamy Soil,24 to 29,Rabi,Vegetable
Morocco,Carrot,Alluvial Soil,28 to 32,Autumn,Vegetable
Morocco,Cotton,Laterite Soil,25 to 36,Spring,Cash Crop
Morocco,Jute,Silty Soil,21 to 32,Wet Season,Cash Crop
Morocco,Mustard Greens,Volcanic Soil,20 to 30,Autumn,Leafy Green
Morocco,Hazelnut,Sandy Soil,27 to 31,Wet Season,Nut
Morocco,Spinach,Silty Soil,28 to 36,Autumn,Vegetable
Morocco,Garlic,Silty Soil,21 to 36,Summer,Spice
Morocco,Tobacco,Sandy Soil,25 to 34,Rabi,Cash Crop
Morocco,Tea,Andosol,26 to 38,Summer,Beverage
Morocco,Apple,Andosol,27 to 38,Summer,Fruit
Morocco,Banana,Alluvial Soil,27 to 32,Year-round,Fruit
